  Hz	 Vrms	dBV	deg
10.00	0.004	-47.088	5.9
20.00	0.005	-45.702	-4.5
30.00	0.006	-44.746	26.6
40.00	0.006	-44.065	8.6
50.00	0.007	-43.137	35.3
60.00	0.007	-43.103	-9.1
70.00	0.007	-43.486	-40.9
80.00	0.007	-43.198	-67.3
90.00	0.008	-41.665	-69.6
100.0	0.011	-39.496	-56.7
110.0	0.021	-33.462	68.2
120.0	0.011	-38.879	-161.8
130.0	0.008	-42.034	-165.1
140.0	0.009	-40.736	-167.2
150.0	0.008	-41.552	-178.8
160.0	0.010	-39.855	-177.9
170.0	0.008	-41.685	-179.0
180.0	0.013	-37.510	176.6
190.0	0.012	-38.504	175.3
200.0	0.010	-40.041	175.8
210.0	0.010	-40.000	170.7
220.0	0.015	-36.249	172.4
230.0	0.011	-39.465	169.7
240.0	0.011	-39.379	169.0
250.0	0.011	-39.295	168.0
260.0	0.012	-38.400	166.7
270.0	0.018	-34.727	166.7
280.0	0.016	-35.955	165.2
290.0	0.011	-38.822	164.7
300.0	0.012	-38.303	162.9
310.0	0.013	-37.937	163.1
320.0	0.013	-37.628	161.5
330.0	0.013	-37.452	160.8
340.0	0.014	-37.219	160.8
350.0	0.016	-35.960	159.7
360.0	0.025	-31.939	159.4
370.0	0.026	-31.837	157.7
380.0	0.021	-33.382	157.1
390.0	0.016	-35.680	157.4
400.0	0.016	-35.979	155.8
410.0	0.017	-35.545	152.8
420.0	0.017	-35.308	154.1
430.0	0.018	-34.935	153.2
440.0	0.019	-34.607	153.1
450.0	0.019	-34.285	153.8
460.0	0.019	-34.275	151.9
470.0	0.020	-34.148	151.8
480.0	0.020	-33.969	151.0
490.0	0.021	-33.605	149.6
500.0	0.021	-33.444	149.9
510.0	0.022	-33.001	149.2
520.0	0.024	-32.505	148.7
530.0	0.028	-31.149	148.4
540.0	0.038	-28.379	148.2
550.0	0.039	-28.135	147.8
560.0	0.034	-29.266	146.9
570.0	0.029	-30.802	146.3
580.0	0.026	-31.661	145.8
590.0	0.026	-31.686	145.3
600.0	0.026	-31.597	144.9
610.0	0.027	-31.370	144.4
620.0	0.028	-31.154	143.6
630.0	0.028	-30.940	143.3
640.0	0.029	-30.700	142.8
650.0	0.030	-30.366	142.5
660.0	0.031	-30.180	142.0
670.0	0.031	-30.088	141.6
680.0	0.032	-29.908	141.0
690.0	0.033	-29.743	140.6
700.0	0.033	-29.563	140.3
710.0	0.034	-29.311	140.1
720.0	0.035	-29.129	139.6
730.0	0.035	-29.044	139.1
740.0	0.036	-28.953	138.7
750.0	0.036	-28.843	138.3
760.0	0.037	-28.656	138.0
770.0	0.037	-28.591	137.6
780.0	0.038	-28.471	137.3
790.0	0.038	-28.310	137.1
800.0	0.039	-28.233	136.6
810.0	0.040	-28.053	135.9
820.0	0.040	-28.000	135.7
830.0	0.040	-27.915	135.5
840.0	0.041	-27.740	135.2
850.0	0.042	-27.630	134.6
860.0	0.042	-27.527	134.6
870.0	0.043	-27.424	134.2
880.0	0.043	-27.285	133.6
890.0	0.044	-27.158	133.5
900.0	0.045	-27.005	133.3
910.0	0.045	-27.013	132.9
920.0	0.045	-26.983	132.7
930.0	0.045	-26.886	132.3
940.0	0.046	-26.821	132.1
950.0	0.046	-26.770	131.6
960.0	0.047	-26.614	131.5
970.0	0.047	-26.507	131.2
980.0	0.048	-26.364	131.1
990.0	0.048	-26.332	130.7
1000.0	0.049	-26.147	130.3
