  Hz	 Vrms	dBV	deg
10.00	0.004	-47.278	-9.4
20.00	0.005	-45.240	-1.3
30.00	0.006	-44.766	-10.6
40.00	0.006	-44.351	-35.1
50.00	0.007	-42.802	-123.9
60.00	0.007	-43.087	157.9
70.00	0.007	-43.102	164.8
80.00	0.008	-42.439	158.0
90.00	0.008	-41.905	156.1
100.0	0.012	-38.450	150.3
110.0	0.022	-33.103	151.7
120.0	0.011	-38.956	151.1
130.0	0.009	-40.692	145.1
140.0	0.011	-38.838	145.7
150.0	0.010	-40.158	144.8
160.0	0.013	-37.767	142.3
170.0	0.011	-39.189	141.8
180.0	0.015	-36.655	139.0
190.0	0.015	-36.310	138.7
200.0	0.014	-37.336	137.5
210.0	0.014	-37.001	136.1
220.0	0.020	-33.943	134.4
230.0	0.016	-35.895	133.7
240.0	0.017	-35.615	132.4
250.0	0.017	-35.547	128.8
260.0	0.018	-34.782	130.4
270.0	0.022	-33.124	130.0
280.0	0.023	-32.613	129.2
290.0	0.020	-34.122	127.9
300.0	0.020	-33.885	127.7
310.0	0.021	-33.393	126.5
320.0	0.022	-33.080	125.6
330.0	0.023	-32.800	124.9
340.0	0.023	-32.605	124.2
350.0	0.025	-32.099	123.4
360.0	0.031	-30.281	123.0
370.0	0.035	-29.151	122.3
380.0	0.031	-30.138	121.8
390.0	0.028	-31.182	121.2
400.0	0.028	-31.126	120.6
410.0	0.028	-30.924	120.0
420.0	0.029	-30.679	119.8
430.0	0.030	-30.392	119.3
440.0	0.031	-30.150	118.5
450.0	0.032	-29.919	119.9
460.0	0.032	-29.806	118.1
470.0	0.033	-29.627	117.8
480.0	0.034	-29.466	117.0
490.0	0.034	-29.331	118.1
500.0	0.036	-28.988	116.9
510.0	0.036	-28.950	116.5
520.0	0.037	-28.683	116.3
530.0	0.039	-28.146	116.1
540.0	0.046	-26.751	115.9
550.0	0.053	-25.550	115.4
560.0	0.049	-26.177	115.1
570.0	0.043	-27.251	114.8
580.0	0.041	-27.766	114.4
590.0	0.041	-27.774	114.2
600.0	0.042	-27.558	114.0
610.0	0.042	-27.457	113.8
620.0	0.043	-27.372	113.6
630.0	0.044	-27.198	113.2
640.0	0.045	-27.007	113.2
650.0	0.046	-26.837	112.7
660.0	0.046	-26.736	112.7
670.0	0.047	-26.565	112.6
680.0	0.047	-26.487	112.3
690.0	0.048	-26.295	111.9
700.0	0.049	-26.190	112.0
710.0	0.050	-26.032	111.5
720.0	0.051	-25.915	111.5
730.0	0.051	-25.823	111.5
740.0	0.052	-25.717	111.2
750.0	0.053	-25.578	111.0
760.0	0.053	-25.490	110.7
770.0	0.054	-25.351	110.6
780.0	0.054	-25.323	110.6
790.0	0.055	-25.227	110.5
800.0	0.055	-25.121	110.1
810.0	0.056	-25.072	110.2
820.0	0.057	-24.940	110.1
830.0	0.057	-24.884	109.8
840.0	0.058	-24.735	109.7
850.0	0.058	-24.706	109.6
860.0	0.059	-24.608	109.5
870.0	0.060	-24.491	109.2
880.0	0.060	-24.387	109.2
890.0	0.061	-24.322	109.1
900.0	0.062	-24.177	108.9
910.0	0.062	-24.153	108.9
920.0	0.062	-24.141	108.7
930.0	0.063	-24.022	108.5
940.0	0.063	-24.015	108.4
950.0	0.064	-23.924	108.2
960.0	0.064	-23.841	108.4
970.0	0.065	-23.793	108.2
980.0	0.066	-23.670	108.1
990.0	0.066	-23.649	107.9
1000.0	0.067	-23.508	107.9
