  Hz	 Vrms	dBV	deg
10.00	0.004	-47.325	4.9
20.00	0.005	-46.714	-1.7
30.00	0.005	-46.186	-3.2
40.00	0.006	-44.969	-7.8
50.00	0.006	-43.799	-12.4
60.00	0.006	-43.982	-24.6
70.00	0.006	-44.002	-22.6
80.00	0.006	-43.836	-27.7
90.00	0.007	-42.571	-31.1
100.0	0.011	-39.236	-46.6
110.0	0.019	-34.589	-32.3
120.0	0.010	-39.982	-43.2
130.0	0.008	-42.371	-50.1
140.0	0.008	-41.822	-45.7
150.0	0.008	-42.462	-60.8
160.0	0.009	-41.218	-51.7
170.0	0.007	-42.508	-58.5
180.0	0.011	-39.500	-62.3
190.0	0.010	-39.615	-63.5
200.0	0.008	-41.622	-62.6
210.0	0.009	-41.028	-72.4
220.0	0.012	-38.782	-59.3
230.0	0.009	-40.805	-76.1
240.0	0.009	-41.210	-76.6
250.0	0.010	-40.383	-103.7
260.0	0.010	-40.032	-84.2
270.0	0.013	-37.623	-84.4
280.0	0.012	-38.374	-88.4
290.0	0.009	-41.309	-86.3
300.0	0.009	-40.887	-85.0
310.0	0.009	-40.808	-92.7
320.0	0.009	-40.742	-92.2
330.0	0.009	-40.717	-95.7
340.0	0.010	-40.385	-99.3
350.0	0.012	-38.189	-102.0
360.0	0.018	-35.097	-102.9
370.0	0.019	-34.417	-103.8
380.0	0.016	-36.082	-106.9
390.0	0.010	-39.835	-108.2
400.0	0.009	-41.194	-109.0
410.0	0.009	-41.245	-129.6
420.0	0.009	-40.829	-112.7
430.0	0.010	-40.420	-116.2
440.0	0.010	-40.156	-108.1
450.0	0.009	-40.526	-112.1
460.0	0.009	-40.718	-117.9
470.0	0.009	-40.944	-117.2
480.0	0.009	-40.950	-119.4
490.0	0.009	-40.470	-122.4
500.0	0.010	-39.601	-123.6
510.0	0.011	-39.347	-123.8
520.0	0.013	-37.909	-123.3
530.0	0.017	-35.253	-126.7
540.0	0.023	-32.912	-127.6
550.0	0.023	-32.669	-129.1
560.0	0.021	-33.732	-128.3
570.0	0.015	-36.642	-129.9
580.0	0.010	-40.020	-130.0
590.0	0.008	-41.789	-131.6
600.0	0.008	-41.989	-133.4
610.0	0.008	-41.720	-134.7
620.0	0.009	-41.376	-133.4
630.0	0.009	-40.763	-135.5
640.0	0.010	-40.298	-135.5
650.0	0.010	-39.863	-137.7
660.0	0.010	-39.690	-137.6
670.0	0.010	-39.718	-139.8
680.0	0.010	-39.692	-138.7
690.0	0.011	-39.395	-141.1
700.0	0.011	-39.042	-141.4
710.0	0.012	-38.236	-141.5
720.0	0.013	-37.908	-142.4
730.0	0.012	-38.132	-143.0
740.0	0.012	-38.523	-143.9
750.0	0.012	-38.470	-144.6
760.0	0.012	-38.737	-145.9
770.0	0.012	-38.583	-145.7
780.0	0.012	-38.727	-145.8
790.0	0.011	-38.806	-145.4
800.0	0.012	-38.663	-146.8
810.0	0.012	-38.743	-147.3
820.0	0.012	-38.644	-148.0
830.0	0.012	-38.710	-149.3
840.0	0.012	-38.678	-149.6
850.0	0.012	-38.450	-149.3
860.0	0.012	-38.209	-151.0
870.0	0.013	-37.925	-150.3
880.0	0.013	-37.505	-150.6
890.0	0.014	-37.360	-151.7
900.0	0.013	-37.406	-152.4
910.0	0.012	-38.097	-152.0
920.0	0.011	-38.879	-153.4
930.0	0.011	-39.416	-153.2
940.0	0.011	-39.529	-154.0
950.0	0.010	-39.624	-154.5
960.0	0.011	-39.241	-154.7
970.0	0.011	-39.000	-155.0
980.0	0.012	-38.667	-156.6
990.0	0.013	-37.940	-155.9
1000.0	0.014	-37.291	-155.9
