  Hz	 Vrms	dBV	deg
10.00	0.005	-46.833	-12.2
20.00	0.005	-45.429	-13.0
30.00	0.005	-45.812	-40.0
40.00	0.006	-43.809	-25.3
50.00	0.007	-43.201	-9.5
60.00	0.007	-43.175	-46.9
70.00	0.007	-43.216	-47.0
80.00	0.007	-42.506	-58.1
90.00	0.008	-41.597	-80.2
100.0	0.011	-38.852	-124.7
110.0	0.021	-33.540	-112.3
120.0	0.011	-38.821	-142.5
130.0	0.008	-41.917	-134.9
140.0	0.009	-40.685	-158.4
150.0	0.008	-42.081	-164.3
160.0	0.010	-40.043	-159.4
170.0	0.008	-41.713	-171.1
180.0	0.013	-37.552	-168.6
190.0	0.012	-38.507	-174.4
200.0	0.009	-40.501	-176.4
210.0	0.010	-40.211	-179.8
220.0	0.015	-36.432	179.5
230.0	0.011	-39.559	177.5
240.0	0.011	-39.301	177.6
250.0	0.010	-39.828	171.1
260.0	0.012	-38.567	174.0
270.0	0.018	-34.779	173.5
280.0	0.016	-36.092	171.9
290.0	0.011	-39.109	171.4
300.0	0.012	-38.628	169.6
310.0	0.012	-38.179	168.9
320.0	0.013	-37.873	168.9
330.0	0.013	-37.746	167.5
340.0	0.013	-37.460	166.3
350.0	0.016	-36.144	165.3
360.0	0.025	-31.982	164.9
370.0	0.025	-32.027	164.4
380.0	0.021	-33.626	162.9
390.0	0.016	-36.025	162.0
400.0	0.015	-36.374	161.1
410.0	0.016	-36.136	161.6
420.0	0.016	-35.819	160.4
430.0	0.017	-35.341	158.3
440.0	0.018	-34.987	160.0
450.0	0.018	-35.111	156.7
460.0	0.018	-34.683	157.3
470.0	0.019	-34.608	156.2
480.0	0.019	-34.406	155.7
490.0	0.020	-34.122	155.3
500.0	0.021	-33.654	154.7
510.0	0.021	-33.557	154.2
520.0	0.023	-32.820	153.3
530.0	0.027	-31.248	153.2
540.0	0.037	-28.522	152.7
550.0	0.038	-28.449	151.9
560.0	0.033	-29.662	152.0
570.0	0.028	-31.205	151.4
580.0	0.025	-32.163	149.8
590.0	0.024	-32.311	149.8
600.0	0.025	-32.144	149.2
610.0	0.026	-31.828	148.5
620.0	0.026	-31.639	148.1
630.0	0.027	-31.339	147.6
640.0	0.028	-31.149	146.9
650.0	0.028	-30.950	146.7
660.0	0.029	-30.722	146.0
670.0	0.030	-30.491	145.6
680.0	0.030	-30.353	145.1
690.0	0.031	-30.194	145.0
700.0	0.032	-29.994	144.2
710.0	0.032	-29.780	143.8
720.0	0.033	-29.570	143.6
730.0	0.034	-29.456	142.9
740.0	0.034	-29.341	142.8
750.0	0.035	-29.224	142.3
760.0	0.035	-29.081	141.8
770.0	0.036	-28.955	141.4
780.0	0.036	-28.825	141.0
790.0	0.037	-28.731	140.4
800.0	0.037	-28.599	139.8
810.0	0.037	-28.548	139.9
820.0	0.038	-28.405	139.6
830.0	0.039	-28.284	139.1
840.0	0.039	-28.203	138.8
850.0	0.040	-28.049	138.4
860.0	0.040	-27.894	138.2
870.0	0.041	-27.839	137.9
880.0	0.042	-27.637	137.4
890.0	0.042	-27.506	137.1
900.0	0.042	-27.483	136.8
910.0	0.043	-27.391	136.3
920.0	0.043	-27.371	136.2
930.0	0.043	-27.303	135.7
940.0	0.043	-27.235	135.7
950.0	0.044	-27.148	135.1
960.0	0.044	-27.053	134.9
970.0	0.045	-26.909	134.5
980.0	0.046	-26.794	134.4
990.0	0.046	-26.716	133.9
1000.0	0.047	-26.513	133.8
