  Hz	 Vrms	dBV	deg
100.0	0.011	-38.800	129.8
200.0	0.008	-42.090	156.8
300.0	0.009	-40.498	162.6
400.0	0.009	-40.629	163.0
500.0	0.013	-38.033	163.2
600.0	0.012	-38.102	162.0
700.0	0.017	-35.592	160.6
800.0	0.019	-34.594	159.0
900.0	0.021	-33.356	157.8
1000.0	0.028	-31.143	156.4
2000.0	0.057	-24.873	142.2
3000.0	0.079	-22.016	131.7
4000.0	0.090	-20.870	124.3
5000.0	0.098	-20.173	119.3
6000.0	0.102	-19.788	115.2
7000.0	0.103	-19.731	112.6
8000.0	0.104	-19.657	110.1
9000.0	0.105	-19.603	108.1
10000	0.104	-19.697	106.4
