  Hz	 Vrms	dBV	deg
10.00	0.024	-32.439	-5.0
20.00	0.005	-46.257	-3.5
30.00	0.006	-45.162	-40.0
40.00	0.006	-44.670	-32.5
50.00	0.007	-43.039	-8.1
60.00	0.007	-43.259	-18.3
70.00	0.007	-43.302	-24.1
80.00	0.007	-43.466	-31.6
90.00	0.008	-42.330	-28.6
100.0	0.011	-39.380	-40.3
110.0	0.020	-33.989	-39.2
120.0	0.010	-39.582	-47.9
130.0	0.008	-42.237	-61.7
140.0	0.009	-41.151	-60.9
150.0	0.007	-42.689	-54.5
160.0	0.009	-40.528	-85.3
170.0	0.008	-42.358	-86.6
180.0	0.011	-38.852	-96.6
190.0	0.011	-38.994	-105.7
200.0	0.008	-41.605	-107.7
210.0	0.009	-40.969	-120.7
220.0	0.013	-37.461	-129.1
230.0	0.009	-40.503	-133.0
240.0	0.009	-40.876	-136.5
250.0	0.009	-40.887	137.0
260.0	0.010	-39.765	-148.1
270.0	0.015	-36.460	-150.9
280.0	0.014	-37.064	-148.8
290.0	0.009	-40.842	-153.4
300.0	0.010	-40.365	-149.7
310.0	0.010	-40.338	-157.9
320.0	0.010	-40.224	-159.6
330.0	0.010	-40.211	-162.4
340.0	0.010	-40.113	-163.0
350.0	0.012	-38.342	-165.7
360.0	0.020	-33.952	-164.3
370.0	0.022	-33.279	-166.7
380.0	0.018	-35.012	-166.8
390.0	0.011	-39.053	-167.9
400.0	0.010	-40.228	-169.3
410.0	0.010	-40.305	-156.3
420.0	0.010	-39.864	-171.5
430.0	0.011	-39.397	-170.1
440.0	0.011	-39.056	-174.1
450.0	0.011	-39.282	-172.0
460.0	0.011	-39.349	-173.6
470.0	0.010	-39.640	-175.9
480.0	0.011	-39.468	-174.5
490.0	0.011	-39.178	-171.7
500.0	0.012	-38.483	-175.8
510.0	0.012	-38.586	-176.8
520.0	0.013	-37.399	-176.5
530.0	0.019	-34.630	-177.9
540.0	0.027	-31.238	-177.6
550.0	0.030	-30.562	-177.9
560.0	0.026	-31.845	-178.2
570.0	0.019	-34.594	-179.8
580.0	0.013	-37.605	-179.9
590.0	0.011	-38.788	179.9
600.0	0.011	-38.856	179.7
610.0	0.012	-38.530	178.2
620.0	0.012	-38.220	178.3
630.0	0.013	-37.776	178.2
640.0	0.013	-37.521	177.6
650.0	0.014	-36.946	177.4
660.0	0.015	-36.706	176.9
670.0	0.015	-36.616	176.8
680.0	0.015	-36.547	175.9
690.0	0.015	-36.355	176.1
700.0	0.016	-36.024	175.6
710.0	0.017	-35.423	175.1
720.0	0.017	-35.143	174.5
730.0	0.017	-35.221	174.5
740.0	0.017	-35.278	174.2
750.0	0.017	-35.383	174.0
760.0	0.018	-35.114	173.9
770.0	0.018	-34.973	173.6
780.0	0.018	-35.092	173.4
790.0	0.018	-34.875	172.7
800.0	0.018	-34.726	172.6
810.0	0.018	-34.738	172.1
820.0	0.019	-34.558	171.6
830.0	0.019	-34.593	171.3
840.0	0.019	-34.436	170.8
850.0	0.019	-34.205	170.7
860.0	0.020	-34.152	170.3
870.0	0.020	-33.918	170.2
880.0	0.021	-33.634	169.7
890.0	0.021	-33.397	169.6
900.0	0.021	-33.442	169.2
910.0	0.021	-33.510	168.9
920.0	0.021	-33.626	168.9
930.0	0.021	-33.719	168.8
940.0	0.021	-33.647	168.2
950.0	0.021	-33.628	167.9
960.0	0.021	-33.480	167.4
970.0	0.022	-33.217	167.4
980.0	0.022	-33.101	166.5
990.0	0.023	-32.839	166.8
1000.0	0.024	-32.488	166.2
