  Hz	 Vrms	dBV	deg
100.0	0.013	-37.614	23.2
200.0	0.008	-41.950	110.4
300.0	0.009	-41.051	134.4
400.0	0.008	-42.196	133.4
500.0	0.011	-39.398	144.5
600.0	0.008	-42.453	147.5
700.0	0.010	-40.215	148.4
800.0	0.009	-40.648	154.5
900.0	0.009	-40.632	154.8
1000.0	0.017	-35.570	154.5
2000.0	0.016	-36.189	165.2
3000.0	0.022	-32.984	167.5
4000.0	0.026	-31.734	167.3
5000.0	0.032	-29.924	167.4
6000.0	0.037	-28.568	166.6
7000.0	0.040	-27.980	166.2
8000.0	0.045	-26.916	165.7
9000.0	0.050	-26.082	164.6
10000	0.053	-25.487	164.2
