  Hz	 Vrms	dBV	deg
10.00	0.006	-45.107	-29.8
20.00	0.006	-44.658	-30.1
30.00	0.007	-43.356	-58.3
40.00	0.006	-44.543	-25.1
50.00	0.010	-39.834	-23.7
60.00	0.008	-42.104	-11.5
70.00	0.008	-42.307	-19.4
80.00	0.008	-41.790	-25.9
90.00	0.009	-40.502	-19.0
100.0	0.017	-35.245	-40.3
110.0	0.019	-34.458	-27.8
120.0	0.012	-38.249	-29.8
130.0	0.009	-40.541	-27.2
140.0	0.010	-40.265	-24.2
150.0	0.011	-39.564	-32.6
160.0	0.011	-38.964	-35.7
170.0	0.010	-39.960	-33.8
180.0	0.015	-36.756	-42.0
190.0	0.015	-36.377	-45.3
200.0	0.011	-38.899	-41.2
210.0	0.011	-39.423	-46.4
220.0	0.013	-37.640	-25.1
230.0	0.013	-37.477	-45.1
240.0	0.015	-36.404	-45.8
250.0	0.012	-38.462	133.8
260.0	0.012	-38.523	-45.2
270.0	0.011	-38.920	-46.1
280.0	0.012	-38.533	-45.9
290.0	0.014	-37.150	-50.9
300.0	0.015	-36.494	-55.6
310.0	0.020	-34.194	-52.5
320.0	0.017	-35.603	-56.4
330.0	0.013	-37.710	-54.8
340.0	0.013	-37.647	-57.6
350.0	0.016	-36.172	-59.6
360.0	0.019	-34.321	-56.4
370.0	0.022	-33.031	-58.5
380.0	0.015	-36.768	-56.4
390.0	0.012	-38.272	-58.7
400.0	0.011	-38.822	-57.4
410.0	0.013	-38.014	-65.0
420.0	0.014	-37.318	-60.3
430.0	0.015	-36.508	-84.2
440.0	0.018	-34.754	-78.8
450.0	0.018	-34.928	-64.6
460.0	0.018	-34.842	-61.9
470.0	0.034	-29.353	-65.2
480.0	0.021	-33.432	-60.9
490.0	0.017	-35.616	-67.9
500.0	0.014	-36.824	-60.1
510.0	0.013	-37.711	-65.6
520.0	0.013	-37.908	-64.1
530.0	0.013	-37.678	-64.6
540.0	0.013	-37.893	-69.4
550.0	0.013	-37.811	-66.7
560.0	0.012	-38.198	-64.7
570.0	0.012	-38.739	-72.3
580.0	0.011	-39.471	-58.9
590.0	0.011	-39.175	-69.9
600.0	0.011	-38.856	-67.3
610.0	0.012	-38.452	-69.0
620.0	0.012	-38.154	-69.5
630.0	0.013	-37.695	-68.2
640.0	0.014	-37.103	-68.0
650.0	0.014	-37.238	-67.7
660.0	0.013	-37.504	-67.9
670.0	0.012	-38.108	-70.0
680.0	0.012	-38.161	-70.5
690.0	0.014	-36.987	-71.3
700.0	0.016	-35.929	-71.6
710.0	0.017	-35.396	-70.0
720.0	0.016	-35.772	-70.5
730.0	0.015	-36.457	-68.4
740.0	0.014	-36.961	-71.6
750.0	0.014	-37.132	-71.0
760.0	0.014	-37.295	-78.3
770.0	0.014	-37.159	-71.1
780.0	0.014	-36.867	-68.2
790.0	0.015	-36.677	-76.6
800.0	0.015	-36.390	-78.8
810.0	0.016	-36.078	-72.0
820.0	0.016	-35.815	-74.5
830.0	0.017	-35.196	-72.2
840.0	0.019	-34.281	-73.5
850.0	0.022	-33.338	-72.1
860.0	0.025	-32.156	-73.4
870.0	0.029	-30.895	-75.5
880.0	0.033	-29.740	-76.1
890.0	0.034	-29.325	-75.4
900.0	0.031	-30.090	-74.5
910.0	0.028	-31.153	-74.3
920.0	0.031	-30.073	-74.0
930.0	0.048	-26.416	-74.8
940.0	0.065	-23.751	-77.9
950.0	0.051	-25.868	-77.9
960.0	0.037	-28.673	-76.7
970.0	0.030	-30.592	-73.9
980.0	0.025	-32.041	-62.9
990.0	0.022	-33.128	-78.5
1000.0	0.020	-33.877	-83.7
